Title,Task_Force,Year_Implemented,Country,Proposal_Summary
"Optical camera for a 14-inch telescope in Namibia",1,2015,"Namibia        ","This project is centered on purchasing an optical camera for the use with a 14-inch telescope in Windhoek, Namibia.
Namibia is home to the world’s largest gamma-ray experiment, the High Energy Stereoscopic System (H.E.S.S.) project. Also, the Square Kilometre Array (SKA) telescope will partly be constructed in Namibia and in other several African partner countries. Against this background, the country has been aspiring to engage in serious human capital development programs in astronomy to enable the locals to partake in these world leading scientific experiments. The Department of Physics of the University of Namibia (UNAM) has been spearheading this process. However, the science goals for both H.E.S.S. and the SKA are so advanced that it presents a challenge to train local students at undergraduate level to directly feed into these experiments without some sort of intermediated educational and observational astronomy program.
For this purpose, we intent to use a close-by, privately owned observatory, known as the Cuno Hoffmeister Memorial Observatory (CHMO). The main instrument of CHMO is a 14-inch Schmitt-Cassegrain reflector telescope, with currently has no optical camera. Our intention is to acquire an optical camera for it and use it to perform photometric observations of various astronomical sources. The ultimate goal is to gear the Namibian community towards cutting-edge research in multi-wavelength astronomy involving optical, gamma-ray and radio wavelength regimes. This project will also serve as an introductory and intermediate program in which students are introduced to observational astronomy, data reduction and data analysis from which they can acquire the necessary skills to get involved in high level research with H.E.S.S. and the SKA. The owner of CHMO, Mrs. Sonja Itting-Enke, has for decades been committed to astronomy education for schools and the public and is eagerly looking forward to cooperate with UNAM in making use of this observatory."
"Summer School on Statistical Data Analysis and Data Mining in Astronomy",1,2015,"Kenya        ","There is a rapidly growing interest in astronomy and astrophysics in Kenya and the East African region. One of the SKA nodes will be located in Kenya and an observatory for optical astronomy has already been commissioned at Entoto in Ethiopia. These developments provide great opportunities for local students and researchers to get involved in as well as initiate their astronomy research projects. However, there are very few experts in astronomy and astrophysics in the east African region, and even less expertise in how to process, understand, and exploit astronomical data. We propose to hold a summer school at Kenyatta University focusing on statistical data analysis and data mining in astronomy. This will be achieved through lectures and hands-on exercises given by international experts. The target group is students at the MSc and PhD level from the East African region (Kenya, Burundi, Ethiopia, Rwanda, Tanzania, Uganda) although students from across the world are also welcome. Building on what they learn at this workshop, East African students will be able to make valuable contributions to astrophysics with a minimum of hardware resources, by applying advanced data analysis and interrogation methods on modest computing resources to the numerous astronomical data sets which are publicly available. We believe that this will set an important foundation for the establishment of long term expertise in astronomy in East Africa. The main objective of this project is to transfer fundamental knowledge and skills in astronomy to postgraduate students in Kenya and the region. This will enable them to actively participate in international research projects as well as initiate research projects of their own, also in collaboration with international partners. Astronomy is a small field, and such international connections are essential if East African astronomy is to thrive and grow"
"Summer Visiting Program for Astronomers at  the Harvard-Smithsonian Center for Astrophysics (CfA)",1,2015,"United States        ","The importance of mobility of scientists for their careers is unquestionable. However, for researchers from economically developing countries, visiting a world-renowned institution is something they can only dream of, not because of lack of talent or ambition, but because of lack of opportunities and gateways.
We propose a pilot program in which astronomers from economically developing countries can apply to spend a month in the summer at the Harvard-Smithsonian Center for Astrophysics (CfA). Scientists from economically developing countries worldwide can apply for this opportunity. In their application, they have to present a work plan and outline the benefits of their visit for the continuation of their career and the development of astronomy back in their home country. In a pilot program, two visiting scientists will be selected for the summer of 2015. We foresee mutual benefit from such a visiting program for both the visiting scientist and the CfA scientists and staff, who will have the opportunity to learn from the visitors about the status of astronomy in their countries. From such visits lasting collaborations can grow that open up increasing exchange in knowledge, contribution to education (e.g., workshops/schools later organized in the country of the visitor), and increased integration, all high priorities for the International Astronomical Union and its Office of Astronomy for Development."
"TARA, Fergusson College Node, Pune, India",1,2015,"India         ","Fergusson College has been actively engaged in science popularization in Astronomy and Astrophysics for the past 18 years with simple and limited facilities. Recently, the Inter University Center for Astronomy and Astrophysics IUCAA, Pune has officially acknowledged us with a IUCAA Node for Astronomy and Astrophysics Development i.e. INAAD center for further popularization of the subject among undergraduates. The Physics Department also has Astronomy and Astrophysics as an elective subject at Undergraduate and Post graduate level. Presently we are involved in setting up an observatory as we already have a 9.25 inch Celestron with go to facility. We have procured grants for purchase of Photometer, CCD and a Solar Telescope. The Cork Institute of Technology, Ireland, recently visited the college for possibilities of a collaborative project in setting up a Robotic Telescope using the existing facility. They have a robotic telescope operating at Cork and California, US which are linked. The TARA Fergusson College node will thus allow students to carry out projects and research in various disciplines using the setup for remote observations. The node would also let students and teachers use this telescope for live observing sessions as well as scheduled observations. Further, the difference in time zones between USA, Ireland, India is also ideal for day time astronomy – Solar studies. An integral part of the project will also be the implementation of a public outreach scheme to allow schools and other colleges to utilize the robotic telescope system as a learning and inspirational tool. Students will learn remote observation techniques and carry out remote observations. The TARA node will provide a unique opportunity for college students, in India, Ireland and USA to perform observations, manually as well as remotely and to stimulate interest in Physics, Electronics&Astronomy/Astrophysics.http://www.bco.ie/tara/the-story-of-tara/"
"Time Variability in Modern Astrophysics",1,2015,"Thailand        ","We plan to organize a workshop aimed at astronomers of all levels, who wish to improve their skills in specilized subjects of observation and data reduction. The primary target will be young researchers from South-East Asian countries, who will learn during NIATW how to use instrumentation of a level not readily available elsewhere in the region, and find opportunities to initiate know-how and collaboration links.
This NIATW will be the first of a series of such workshops, that NARIT aspires to organize as part of its strategy to become a leading astronomical institution in South-East Asia, and to provide resources and support for the development of astronomy in the region (eg, NARIT hosts the Regional Node of the OAD for South-East Asia). The first NIATW will be themed ""Time Variability in Modern Astrophysics"" and will make use of the newly inaugurated 2.4m Thai National Telescope to address a number of phenomena subject to time variability. The combination of: telescope size (sufficiently powerful but not yet subject to an excessive pressure factor), geographical location (South-East Asia does not have any comparable facility, and this longitude range is in general poorly covered), instrumentation (including fast and very fast photometry to rates not available elsewhere in the region) makes the TNT an ideal site for such a workshop. We also stress that the event will be in the local ""dry season"" with a high chance of clear skies. We plan to schedule the NIATW a few months after the ISYA (International School for Young Astronomers, also hosted by NARIT in Nov-Dec 2014) so that in fact we may attract some of the ISYA participants to come back and continue observations in the context of NIATW.
Thailand offers the opportunity to easily bring together researchers from many countries, at a moderate cost, in a friendly environment and pleasant climate."
"AstroMcGill's Adopt an Astronomer program",2,2015,"Canada        ","AstroMcGill, the astronomy outreach group at McGill University, requests funds to support a new program called “Adopt an Astronomer”. This program will send McGill University’s young professional astronomers (graduate students or post-doctoral researchers) to primary school classrooms around Québec, multiple times a year. In other words, each partner classroom will “adopt” their own astronomer, interacting with her/him on multiple occasions during the school year. In addition, each astronomer will be matched with one of McGill’s Faculty of Education pre-service/in-service teachers, forming pairs visiting the same classroom throughout the program duration. The goals of this program are two-fold:
- Educational: it will provide science mentors to school children, inspiring them to pursue a life-long love of science while teaching and promoting important astronomy concepts.
- Pedagogical: it will foster the exchange of skills between the pre-service/in-service teachers (pedagogy, how to engage young children, etc...) and the professional astronomers (knowledge of astronomy and science).
These free classroom visits will consist of multiple hands-on, fun astronomy activities and scientific experiments held in the classrooms. The creation and funding of this unique program will open new opportunities for science promotion in Québec. Funding from the IAU Office of Astronomy for Development will be used to cover the cost of transportation to and from the primary schools as well as the cost of materials for the first year of operation, allowing to evaluate the impact of such a program. With the budget requested, we plan to reach over 500 students in the first year, and possibly more in the following years."
"Astronomy Outreach for Inner City Youth",2,2015,"United States        ","Carthage College and the Appalachian Mountain Club will deliver astronomy and nature education and outreach through the Youth Opportunities Program, which addresses underserved inner city youth in poorer areas of the northeast US. This is an important audience, as their home environments do not permit them to experience the natural night sky, nor are they able to see the linkages between astronomical phenomena and the natural world around them. By leveraging the organizational structures already in place, the proposed program will not only directly approach many such individuals, but prepare their teachers and group leaders to bring astronomy content to student groups indefinitely into the future. The specific request is for travel funds (to reach these audiences) and funds for a portable planetarium dome so that the 'natural' night sky can be brought to these students."
"Astro-Science Ambassadors Outreach for Science Education in Tanzania",2,2015,"Tanzania        ","Astro-Science Ambassadors are science teachers trained to teach using astronomy as a tool for inquiry based science education in Tanzania. These ambassadors participated in a training workshop which designed to develop astro-science curriculum activities in line with science syllabuses of the United Republic of Tanzania. These materials will be used by the Organization for Science Education and Observatory situated in Arusha, Tanzania. Each ambassador will be responsible for a science subject (Physics, Chemistry, Biology, Geography or Mathematics) to develop astro-science activities and disseminate these to other teachers and schools.
The Astro-Science Ambassador Outreach project is unique and innovative because it is a model for inquiry based science education that has the support of Tanzanian Ministry of Education Regional Officers, local educators, and community members. It is based in Northern Tanzania focusing on the work of the Organization for Science Education and Observatory in Usa River. The project will take astro-science knowledge and skills to more teachers, students, schools and government officers in Arusha region of northern Tanzania.
The project will make use of the activities developed by astro-science ambassadors during the astro-science curriculum development workshop in June, 2014. It will use the resources distributed by Telescopes to Tanzania, UNAWE-Tanzania and the Organization for Science Education and Observatory to reach out to schools in the Arusha/Meru region and practice the new activities with the teachers and education officers.
By the end of the project we will reach 24 schools, 48 teachers, engage 2 government district education officers and reach up to 1000 students from the region. The project looked to be pilot to the rest of the regions within Tanzania for the government to scale up as well as to other countries in East Africa, in observing the role of astronomy in promoting science and development."
"Discover the Universe/e la decouverte de l'Univers - Online workshop for worldwide French teachers",2,2015,"Canada Belgium France Luxembourg Madagascar Algeria Switzerland Togo Francophone countries","Discover the Universe (À la découverte de l'Univers) is a Canadian-based program offering free online astronomy workshops for educators. Over the past 4 years, we have reached over 750 teachers and informal educators from all across Canada with extremely positive comments and feedback. Our typical workshop lasts three weeks and includes a weekly webinar on different subject plus activities for participants to do on their own. Everything is accessible on the internet and the webinar can be watched synchronously or asynchronously (recording). All our activities are offered in French and English.
While our programs are offered to Canadian educators, we usually get a few international participants, especially in our French workshops. This brought the idea of offering an international workshop for teachers. Since it is harder to find good French resources in astronomy online, we would focus our efforts on a French workshop to begin. As we are already running such webinars, we could use our existing website and resources and adapt them to an international audience.
Our plan is therefore:
• To offer a FREE 3-week online workshop for teachers covering basic concepts in astronomy (motions of the Earth, moon, solar system, observing the night sky...);
• This workshop would be offered entirely via the internet, with a weekly webinar. We also offer activities do to in class as well as digital resources (slides, images, links to interesting websites...).
• Our marketing strategy would be to reach many French-speaking teachers from developing countries, especially in Africa.
Discover the Universe is offered in Canada by the Canadian Astronomical Society, the Royal Astronomical Society of Canada and the Fédération des astronomes amateurs du Québec."
"GalileoMobile Constellation",2,2015,"Argentina Chile Colombia Ecuador Peru Brazil Bolivia  ","GalileoMobile (GM, www.galileo-mobile.org) is a non-profit, itinerant education initiative that brings Astronomy to young people in areas with limited access to outreach programmes. Started in 2009 by a group of volunteers, it now performs astronomy-related activities in schools and communities all over the world, and encourages follow- up activities through teacher training workshops and the donation of telescopes and educational resources. Since its creation, GM has organised expeditions to Chile, Bolivia and Peru (2009), Bolivia (2012), India (2012), Uganda (2013), Brazil and Bolivia (2014), and extended actions in Portugal (2012,2013), Nepal (2013) and the United States (2013), reaching over 10,300 students and 1,500 teachers. With its Constellation project, GM aims to establish a South American network of schools committed to the long- term organisation of astronomical outreach activities amongst their pupils and local communities, and to provide the teachers of those schools with the material, training and support required to do so.Each school in the network will benefit from: - the donation of educational material and telescopes; - a personalised long-distance training program for all educators involved; - a plan of outreach activities to be carried out at the schools throughout the school year; - a two-day visit by the GM team, involving outreach activities and teacher training workshops; - access to an online platform created especially for the network, which will facilitate interactions among the schools and with GM. The project will involve twenty-one schools in seven countries (Peru, Brazil, Bolivia, Colombia, Ecuador, Chile and Argentina), directly reaching at least 100 teachers and 6,000 students. Thanks to the long-term sustainability of the project, more students will benefit from the project through events organised independently by the schools. The Constellation project is a Major Cosmic Light programme in support of the IAU’s IYL2015."
"How Big Is Earth?",2,2015,"Chile China Nepal Russia South Africa United States   ","Using only the sunlight striking the Earth and a wooden dowel, students can measure the circumference of the earth. Eratosthenes did it over 2,000 years ago. In Cosmos, Carl Sagan shared the process by which Eratosthenes measured the angle of the shadow cast at local noon when sunlight strikes a stick positioned perpendicular to the ground. By comparing his measurement to another made a distance away, Eratosthenes was able to calculate the circumference of the earth. (See Carl Sagan's depiction of this process at (https://www.youtube.com/watch?v=G8cbIWMv0rI.) We will provide an online learning environment where students will be able to do science the same way Eratosthenes did. A notable project in which this was done was The Eratosthenes Project, conducted in 2005 as part of the World Year of Physics; in fact, we will be drawing on the teacher's guide (http://www.physics2005.org/projects/eratosthenes/TeachersGuide.pdf) developed by that project. The difference between that activity and How Big Is Earth? is the online learning environment provided by the iCollaboratory where teachers and students can collaborate, share data, and reflect on their learning of science and astronomy. We will also maintain and share an ongoing database of student measurements. We will collect data on both teacher and student learning from surveys, discussions, and self-reflection done online. Students in each school will collaborate with students around the world; during the first year, schools in six countries will participate. We will share our research about the kinds of learning that takes place only in global collaborations. This is a sustainable project. Another ongoing annual project in the iCollaboratory, The Moon Over Us, has grown from 5,000 students in 2 countries to 6,000 students in 6 countries; total number of students participating has been 15,000. How Big Is Earth? has the same potential to impact the learning of students globally."
"The Travelling Telescope",2,2015,"Kenya        ","To promote science learning to a wide range of Kenyan schools in various locations exchanging knowledge about the sky through direct observations of celestial bodies using state of the art telescopes. In addition to direct observing we also teach science using various hands-on activities and astronomy software, ideal for explaining concepts which are hard to understand, and for a better grasp of the sights visible through the telescope. Hands- on Universe Africa is dedicated to promoting science using astronomy especially in schools, targeting children from as young as 3 years to the youth, teachers, their parents and members of the public.
The telescope has been around for more than 400 years, and through good use of it scientists have made many astonishing discoveries and begun to understand our place in the universe. Most people, however, have never looked through one. Yet it is a great tool for cool science and observation especially in a continent and country with beautifully dark skies. The Travelling Telescope project aims to invite people outside under the stars to learn about those curious lights in the sky."
"Astronomy on Camel Cart",3,2015,"India        ","Manthan Educational Programme Society, India is a not for profit organisation focused to ameliorate and instill fresh methods in science communication and entrepreneurship amongst students and community at large. (www.mepsindia.org).
During IYA 2009, Manthan worked on a project 'Astronomy on Camel Cart' during 100 Hours of Astronomy, which outreached to 25 villages, 7 public gardens, 13 urban slums, 20 schools and 4 universities. This project outreached to almost 250,000 people. This project got great success.
In continuation of the same though, Manthan is now proposing to carry out a similar large scale project of ‘Astronomy on Camel Cart’ for a longer period of time in the Narmada district of Gujarat, India. Under this project. We propose to outreach through camel cart exhibitions, hands-on activities, posters, kits and films in Dediapada, Nandod, Sagbara and Tilakwada talukas of Narmada District of Gujarat State. This district is a tribal district with several people from economic backward regions a socially excluded population in several villages. Under this project we propose to outreach material to the beneficiaries from all the segments of society. We believe that SCIENCE IS FOR ALL. We plan to outreach Astronomy in the form of a Travelling exhibition on Camel Cart to more than 150,000 people from the district. The outreach will be carried out in 3 phases:
Phase 1: Introduction to Astronomy
Phase 2: Let us learn more about Astronomy
Phase 3: Astronomy and Light
Under this project we have planned to communicate astronomy at Children, School and Community level. We have planned to visit almost 80 villages in an outreach period of 30 days. We will be working with 2 Camel cart exhibitions.
We are sure this project would turn out very interesting results in the area of Astronomy Communication. With the locally available infrastructure and the support from IAU this would be a benchmark project not only on on national level but international level."
"COSMIC LIGHT: BRING GALILEO'S STARRY MESSENGER TO VIETNAM",3,2015,"Vietnam        ","The last two IAU grants has done something that is unprecedented: we manage to get the entire amateur astronomy communities together to work together and enjoy astronomy together. The two annual meetings have attracted almost 100 participants from more than 10 cities each times. We are also proud to provide students resources to astronomy & space educational programs in Vietnam and abroad. Among all astronomy and space students who are studying in Vietnam or abroad, almost half of them grew up from these amateur clubs. The science and technology platform in Vietnam is still very much primitive. Considering the emotion and the expectation of students from the last two years events, we believe that astronomy is the key to waken up the awareness of Vietnamese, especially the youth, for science and technology. Taking the chance that next year is the international year of light, we are going to organise a nation-wide activities to nurture the children's love of the sky. Beside the normal activities as last years, we plan to deploy two new activities. The first one is to translate and publicise the Galileo's masterpiece ""Sidereus Nuncius"" into Vietnamese (draft can be found here: www.cita.utoronto.ca/~qnguyen/starrymessengerVN.pdf) besides distributing Galileo telescope and teaching the public to make the Galileo telescope. The second activity is inviting two prominent Vietnam expatriat astronomers: Jane Luu (discoverer of the Kuiper Belt Object) and Nguyen Trong Hien (BICEP2 instrumentation group supervisor) to participate with us in reaching out to students. They are the two most influential astronomers to the public in Vietnam right now. Another important work is to maintain the union of all amateur clubs."
"O Universo é velho, belo e cheio de vida",3,2015,"Portugal        ","Portugal is currently going through a deep and serious economic crisis that affects the elderly as well – their economic condition suffered a change and they are easily forgot by the society. In a country in which agriculture was once the maintaining source of the Portuguese people, the elderly are now isolated in faraway inland
TF3-2014-1409-UniBelo: English translation followed by Portuguese original
villages with no access to new opportunities or simply forgotten in retirement homes. There are several reports of old people found dead at home days after the happening. [1]
Recent studies show that it is vital to maintain intellectual activity in order to prevent mental diseases. [2] [3]
In this project we intend to make the young and the elderly come closer by participating in activities related to astronomy. All activities are aimed at the involvement of the local youth community - schools and families of the elderly.
It is planned to implement activities in the following places:
- Nursing/Retirement homes with the appropriate equipment for the target audience and the astronomy activities: Solar observation, Moon and Stars observation, clarifying doubts session, etc.
- Villages: churches, parks - depending on the specificity of the place and the characteristics of the target audience there will be organised outdoors festivals of astronomy using telescopes.
- Observatory: visit to the Telescope Dome, to the Planetarium and the Building of Museological Collection.
"
"Obsesión por el Cielo: A Weekly Astronomy Radio Show, and Un Paseo por el Cielo: A Descriptive Guide to the Night Sky",3,2015,"Mexico        ","“Obsesión por el Cielo” (Obsession for the Sky) is a weekly radio show where we talk about astronomy and space exploration. It is broadcast live on the radio station of the Universidad de Monterrey, in the metropolitan area of Monterrey in Mexico. It can also be heard live anywhere in the world through the internet, and the show is also offered as a podcast. This radio program started to air in the year 2000 and to date we have produced 570 shows, the last 205 which are available as podcasts. In each program we offer a summary of the most relevant astronomy news of the previous week, alerts of astronomical events that can be observed the following week, and we mostly discuss and comment on a specific topic related to the study and exploration of the Universe.
As part of the radio program we have also started a new project to help the public familiarize themselves with the night skies (“Un Paseo por el Cielo” - A Stroll About the Sky). It consists of four 50-60 minute audio recordings in which we help the observers orient themselves in the night sky and describe the location, shapes and mythologies of the constellations available that particular season. We decided to apply our learned radio communication skills and thus create an audio that can be listened to at the same time as looking up at the night sky. To our knowledge there is no such resource available in Spanish.
We are asking for funds to continue the radio show ́s web presence (podcast site maintenance) for the next three years, and to help cover the costs of production (writing, recording, editing and CD manufacturing) of the audio shows. Both products will be freely available to the general public."
"Poetry and Sky Competition",3,2015,"China        ","Our ancestors were closer to the night sky than we are. Celestial objects are mentioned in many Chinese ancient poems. But few people know them when they recite the poetry. The sky nearly never changes. We see the same sky as Li Bai, a Chinese famous poet, did 1200 years ago. In 2013, OAD supported the Chinese Ancient Poetry Astrophotography which encourages people to take pictures of the night sky according to ancient Chinese poems.
We organized the Chinese Ancient Poetry Astrophotography Competition (CAPAC) in 2014.
We launched the opening ceremony and received Congratulation Video from Mr. Kevin Govender, director of IAU OAD and handwriting from China Former Prime Minister, Wen Jiabao. We developed the website (http://hellosky.lamost.org) as the platform of the competition. The website provides many Chinese ancient astronomy poems, articles, and lecture videos which will help people join the competition. People can submit images and explanation during submission period and vote during the voting period online. We created columns on Amateur Astronomy magazine and social Medias to advertise the project.
Now, the first phase focusing on the Moon has finished. There are 52 entries selected from 96 images. The deadline of second phase submitting period is Sep. 10th; we have received more than 100 pictures. And the website home page has had more than 36000 hits. The project had been presented in IPS 2014 and APRIM2014 and got many congratulations: a wonderful and beautiful OAD TF project!
We will launch CAPAC awards and exhibition opening ceremony on Dec. 26, 2014.
We want to expand the project for the International Year of Light 2015. While continuing with the CAPAC, we will add Sky Poetry Competition (SPC). Let the participants select the image from A Universe of Images (project of IYL2015) and then write poems for them. So the project new name is Poetry and Sky Competition, it will help more people to appreciate the ancient and modern sky."
"Public Library Astronomy Corners",3,2015,"South Africa        ","
The SAAO (South African Astronomical Observatory) library wants to create astronomy awareness in our communities. The idea is to identify ten public libraries (5 per Province) per annum and create astronomy corners. This will be done in conjunction with the Department of Sports, Arts and Culture Western Cape and Northern Cape and the City of Cape Town Library Services and Northern Cape Provincial Library services as public libraries report to these departments. The project will only benefit the Western Cape and Northern Cape Provinces and when established and sustainable, it will be rolled out to other provinces too.
The SAAO library shall supply all books and informative material to the identified libraries and also include an astronomy training workshop for the ten librarians. The librarians have to dedicate a week or month to astronomy and have activities with the children as per the training supplied by the SAAO. Feedback reports have to be submitted.
We are aware that astronomy is part of primary school curricula. Communities in previous disadvantaged areas are always left behind with less growth, especially in science and technology development. The aim of this project is to create science awareness, with emphasis on astronomy in these communities. Educating children from a younger age in astronomy will grow love and passion for the field and soon new emerging young astronomers will be visible."
"SENSOROTECA ASTRONÓMICA",3,2015,"Colombia        ","What is a Sensoroteca?
A Sensoroteca is a space in which objects that can be perceived through taste, hearing, smell, touch and sight are stored. This is the same concept as a library structure but in this case, instead of carrying the contents are objects and materials.
How is a Sensoroteca used?
The Sensoroteca contains a catalog of objects with which you can make presentations and activities on a topic with an emphasis on multi-sensory character.
Who is it for?
The Sensoroteca is directed to different populations with disabilities, minorities, children, and seniors.
In the Planetario de Bogota, astronomy is the main theme that guides the activities performed in their facilities. The Sensoroteca Astronomica objects will be equipped to allow discuss issues with space, physics, chemistry and general cosmography, which can be perceived by taste, hearing, smell, touch and sight.
Thus, if at our Space Museum or at our Childrens Room, a guide wants to talk about black holes, you can choose from the available collection of objects those that are related to explain his speech. As such objects may sound, touch, see, smell and perhaps tasted, allow both deaf, the blind, who do not speak Spanish, infants or coming from regions and isolated groups, to interact with concepts and objects involved in this activity.
Some examples of the objects and materials are tactile spheres, space sounds, a universe of odors, kinetic astronomy, heat and cold, infrared astronomy, models, among others.
The purpose of these activities where multisensoriality is incorporated, is not to create experts in astronomical topics, but raise concerns that awaken interests that promote learning of various kinds."
"Sign Language Universal Encyclopedic  Dictionary",3,2015,"Global        ","Based on the proposal by Proust (2009) and collaborator as part of the IYA2009, this project proposes the dissemination of a unique language for the deaf worldwide, associated with astronomical terms.
While celestial objects are varied and the project can be expanded easily, the proposal will take especial attention to the basic terms linked with the IYL2015, for example light, light year, star, Sun, among others, but as this is a general project, we propose a complete “Sign Language Universal Dictionary”
As part of a new cellebration where the Light is involved, the proposal can reach more visibility and can contribute to share all the people on the Globe under the same way to name the astronomical object, instruments, and discoveries using the sign language.
The development of this universal sign language of astronomical terms, the related multimedia material and the encycopedic dictionary will be very useful specially for OAD activities which are carried out in a variety of developing countries with different languages, making it possible to carry out the same activities anywhere without the need of them being translated.
Reference: Proust, D. (Directeur) (2009). Les mains dans les étoiles.Dictionnaire encyclopédique d'astronomie pour la langue des signes françaises, Burillier Eds, France"
"US National Park Service Night Skies Internship",3,2015,"United States        ","The United States National Park Service (NPS) aims to create an internship for a current astronomy student or recent astronomy graduate to develop their leadership in astronomy communication while simultaneously enhancing the public outreach programs of the parks.
Over the course three months, the intern will collaborate with 1-3 National Parks, leading astronomy outreach programs and acting as an astronomy liaison for the park interpretive rangers and astronomy volunteers. In this time, the intern will contribute their knowledge of astronomy with park staff, while learning the interpretive philosophies of NPS. The internship will conclude with up to one month of collaboration at the NPS Night Skies Division at their headquarters in Fort Collins, Colorado, where the intern will assist with special projects at the national level.
This internship will serve as a pilot project for a larger initiative to link astronomy, physics, planetary science and cultural astronomy majors and graduates to public lands. Dark night skies are an increasingly rare part of our national heritage, and through this internship we aim to connect astronomy students and the public with this valuable resource.
The NPS may have the largest public astronomy effort of any other organization in the United States. An estimated 400,000 – 600,000 visitors annually participate in astronomy-related presentations, including ranger talks, telescope viewing, and other interactive programs. Since 2009 the NPS Night Skies Team has grown in coordination and support of these events, and park managers are finding that such programs are increasingly in high demand.
The extensive scope of our outreach and the continued growth of these programs necessitates the implementation of structures that will help advance the quality of these programs. The NPS Night Skies Internship Program will address this concern while simultaneously allowing for the growth of scientific communication skills of a young astronomer."
"Gaza Ambassadors of Mars",1,2016,"Palestine        ","A group of Gaza youth want to add something to the world's science, we want to be a part of the Astronomy science in our world, we are so ambitious to achieve all of our goals starting by making young students look differently at the sciences in general and the Astronomy in particular that its more than just a subject you need to get high score at, our ultimate goal is to be mentioned by the history of Astronomy."
"Haiti All Sky Camera",1,2016,"Haiti        ","The Haiti All-Sky Camera (HASC) plans to install a specialized camera in Haiti to view and record the night sky. Students from Université Quisqueya (UNIQ) and Ecole Supérieure d’Infotronique d’Haïti (ESIH) along with students from University of Maryland (UMD) will collaborate on code (python programming) to automate the image (data) collection, process the images, inventory the images (build a database of interesting observations), and showcase the results on the web. The collected imagery will also serve as a hook to teach students (and the public) about meteors, constellations, motions of the night sky, light pollution, and other aspects of astronomy."
"Latin American School of Observational Astronomy 2016",1,2016,"Colombia Ecuador Peru Costa Rica Guatemala Nicaragua Honduras El Salvador Panama, Belize - Quoted as ""Countries in Central america"" - Colombia, Ecuador, Peru were only ones specified","In Latin America there is great enthusiasm for astronomy and interest in developing local observatories but there are few astronomers in these countries able to develop new talents. In 2007, members of the Astronomy Institute at Mexico’s National University and the Instituto Nacional de Astronomía, Óptica y Electrónica developed a short course including theoretical lectures with nightly observations for undergraduate students.
The National Observatory in Tonanzintla hosts Latin American School of Observational Astronomy to take advantage of its 1m telescope and various smaller telescopes. Since its inception 96 students have completed the course, and many are now doing graduate studies."
"Radio Astronomy For Education",1,2016,"Botswana Ghana Kenya Madagascar Mauritius (with Agalega, Rodrigues, Saint Brandon) Mozambique Namibia South Africa Tanzania, United Republic of;Zambia","The Radio Astronomy for Education project aims at providing a complete package to build a teaching radio observatory from scratch. The SKA project will stimulate the science communities not only in South Africa and the SKA partner countries but it will attract scientists from around the world. Involving learners and teachers in that thriving adventure is primordial as it will satisfy the growing need for competent assets. Building a teaching radio observatory covers a broad variety of skills spanning from science, technology, engineering and mathematics (STEM). It is thus a perfect multidisciplinary project for Science Faculties."
"Starlight (Astrolab) Extended 2016",1,2016,"Ethiopia Kenya Nigeria Rwanda South Africa United Republic of Tanzania Zambia  ","In previous years an initiation to research project was developed for African science students starting an astronomy course, under the name of ‘Starlight in the University Lab: Astrolab’. Three pilots were started, resp. in Rwanda, Nigeria and Zambia. We propose an extension of Astrolab to three or more universities, with several improvements: all necessary software is open source and freely available, all activities are extensively documented in step-by-step procedures, additional instruction will be given by one of the pilot members."
"The First Arab Winter School for Astrophysics",1,2016,"Bahrain Iraq Jordan Kuwait Lebanon Oman Palestine Qatar Saudi Arabia;Syrian Arab Republic;United Arab Emirates;YemenAlgeria;Comoros;Djibouti;Egypt;Eritrea;Libya/Libyan Arab Jamahiriya;Mauritania;Morocco;Somalia;Sudan;Tunisia","Interest in astrophysics in Morocco and Arab countries is growing rapidly. The region finally has a regional office for OAD. However, lacks the critical mass of professional astrophysicists and graduate programs that can contribute to the development of the research in this field.
A winter school at Cadi Ayyad University focusing on statistical data analysis and data mining in various astrophysical fields. It will present the theoretical concepts of the main astrophysical fields. Collaboration is already in place with the American Association of Variable Star Observers.
Our target is students at the advanced under and postgraduate levels from Arab countries."
"Uplifting the Mozambican astronomy community",1,2016,"Mozambique        ","JEDI.mz will be an workshop based on the Joint Exchange Development Initiative to be held in Mozambique aiming to expose young mozambican university lecturers and students to research in Astronomy and Astrophysics. In this workshop we will provide hand-on projects where the students can learn about radio astronomy, astrophysics, cosmology and data analyses. With this we expect to encourage some of these students and university lecturers to go into research careers in the field."
"An Astronomy Center in Bangladesh",2,2016,"Bangladesh        ","We present a pilot astronomy project that includes the development of an Astronomy Outreach Center in Bangladesh. The project is initiated by Anushandhitshu Chokro Science Organization, a science society dedicated to science education and outreach since 1975. The Center will be the first of its kind in Bangladesh and aspires to fulfill two goals cited in the Strategic Planning of IAU: the role of astronomy in promoting global tolerance and citizenship, and being inspirational for careers in science and technology. The center will be integrated with the local schools and colleges for regular observation and small- scale research."
"Astronomy for Earthquake affected Students",2,2016,"Nepal        ","Hundreds of thousands of people their school going children were made homeless with entire villages flattened, across many districts of the country by the earthquake this year in Nepal. Centuries-old buildings including many schools were destroyed.
Investment will not only be required on infrastructure but also on psychosocial counseling to ensure that children are able to cope with the trauma and resume with their lives.
We think Astronomy may help them forget the fear of the earthquake because of its uniqueness and new for their school activities.
We are focusing our activities in the school of Gorkha, Nuwakot and Kathmandu."
